id,name,scriptid,scripttype,owner,scriptfile,isinactive
4618,NS | CS | SFTP Call Suitelet,customscript_ns_cs_sftp_dt_call_suitelet,CLIENT,17891,1631208,F
4620,NS | CS | SFTP | Display status,customscriptns_cs_sftp_display_status,CLIENT,17891,1631209,F
31,Navigation Category Entry CS,customscript_nav_cs_navcategoryentry,CLIENT,5,112,F
808,PL - Check Pref Vendor on Item - CS,customscript808,CLIENT,8,58963,F
2828,PL Cancel REQ CL,customscript_pl_cancelreq_cl,CLIENT,8,1012907,F
843,PL Create Item List Client Script,customscript_pl_create_item_list_cl,CLIENT,2768,100310,F
845,PL IFUL Pallet Label CS,customscript845,CLIENT,8,108571,T
837,PL Pallet Label CS,customscript837,CLIENT,8,90077,T
817,PL Rec Summ CL,customscript817,CLIENT,8,64278,F
831,PL Receiving Report CS,customscript831,CLIENT,8,78150,F
1105,PL Sales Order Job Label CL,customscript1105,CLIENT,8,250435,F
801,PL Set Sales Team VF Client,customscript801,CLIENT,8,21679,T
1103,PL Showroom Tags CL,customscript1103,CLIENT,8,236111,F
1080,Payment Batch Selection CS SS2,customscript_15767_batch_selection_cs,CLIENT,-5,340,F
160,Payment Batch Selection Main CS,customscript_2663_batch_select_main_cs,CLIENT,5,1049,F
157,Payment File Format CS,customscript_payment_file_format_cs,CLIENT,5,1038,F
158,Payment Schedule CS,customscript_2663_payment_schedule_cs,CLIENT,5,1044,F
345,Payment Schedule CS SS2,customscript_15486_payment_schedule_cs,CLIENT,-5,2993,F
302,Print Item Labels -CL - Consolidation,customscript302,CLIENT,5,2640,T
822,Project Management/Fulfill CL,customscript822,CLIENT,5,66720,F
2426,RAC CS Case Record,customscript_rac_cs_caserecord,CLIENT,17891,911523,F
578,Robson Estimate Client,customscript578,CLIENT,5,5206,F
538,SCM Customer Part Record CS,customscript_scm_cpn_cs_customerpartrec,CLIENT,4,4151,F
541,SCM Item Subtab CS,customscript_scm_cpn_cs_itemsubtab,CLIENT,4,4141,F
544,SCM LC Item Subtab CS,customscript_scm_lc_cs_itemsubtab,CLIENT,4,4142,F
549,SCM LC Landed Cost Template CS,customscript_scm_lc_cs_costcatprofile,CLIENT,4,4106,F
545,SCM LC Transactions CS,customscript_scm_lc_cs_transactions,CLIENT,4,4165,F
543,SCM Preferences CS,customscript_scm_cs_preferences,CLIENT,4,4173,F
540,SCM Print Count Sheet CS,customscript_scm_cs_printcountsheet,CLIENT,4,4085,F
550,SCM Print Dispatch List CS,customscript_scm_cs_printdispatchlist,CLIENT,4,4160,F
547,SCM Print EOD Shipping CS,customscript_scm_cs_printeodshipping,CLIENT,4,4079,F
551,SCM Print Mfg Traveler CS,customscript_scm_cs_printtraveler,CLIENT,4,4127,F
539,SCM Report Status CS,customscript_scm_cs_reportstatus,CLIENT,4,4148,F
546,SCM Transactions CS,customscript_scm_cpn_cs_transactions,CLIENT,4,4088,F
1963,STE CS Entity,customscript_ste_cs_entity,CLIENT,17891,1753241,F
1967,STE CS Nexus,customscript_ste_cs_nexus,CLIENT,17891,1753239,F
1964,STE CS OSS Setup,customscript_ste_cs_oss_setup,CLIENT,17891,1753237,F
1965,STE CS Roles And Permissions Detail,customscript_ste_cs_rol_perm_detail,CLIENT,17891,1753238,F
3342,STE CS Tax Code UI,customscript_ste_cs_taxcode_ui,CLIENT,-5,1753236,F
1968,STE CS Tax Schedule Detail,customscript_ste_cs_taxschedule_detail,CLIENT,17891,1753235,F
1966,STE CS Transaction,customscript_ste_cs_transaction,CLIENT,17891,1753240,F
1060,Set Commit Value On SO Line Item CL,customscript_idle_set_commit_so_item_cl,CLIENT,4,169985,T
3447,Set Location From Customer,customscript_set_location_from_customer,CLIENT,17891,1411789,F
815,Set Pref Payment Processing Profile,customscript815,CLIENT,5,64276,F
479,Solupay ACH Payment,customscript_solupay_ach_payment,CLIENT,2759,3027,F
468,Solupay Bank Deposit,customscript_solupay_bankdeposit_cs,CLIENT,2759,3131,F
467,Solupay Customer Invoice Email Reminder,customscript_solupay_customer_email,CLIENT,2759,3038,F
482,Solupay EMV-ERP,customscript_solupay_emv_erp_cs,CLIENT,2759,3043,F
478,Solupay ERP CloudPay Display 2.0,customscript_solupay_cloudpaydisplay2_cs,CLIENT,2759,3087,F
476,Solupay Email Token Request 2.0,customscript_solupay_emailtokenreq_cs,CLIENT,2759,3145,F
471,Solupay Inv. Email Contacts CS,customscript_solupay_email_contacts_cs,CLIENT,2759,3037,F
475,Solupay Partial Fulfillment,customscript_solupay_partial_fulfill_cs,CLIENT,2759,3020,F
473,Solupay Payment Token List,customscript_solupay_paymenttoken_lst_cs,CLIENT,2759,3057,F
472,Solupay Reconciliation,customscript_solupay_reconciliation_cs,CLIENT,2759,3070,F
470,Solupay Signifyd,customscript_solupay_signifyd_cs,CLIENT,2759,3090,F
466,Solupay Suite Token,customscript_solupay_suitetoken_cs,CLIENT,2759,3138,F
474,Solupay Token Request Email,customscript_solupay_tokenreq_email_cs,CLIENT,2759,3113,F
