depid,script,deployid,recordtype,isdeployed,status
1940,1914,customdeploy_ste_ue_othercharge_item,OTHERCHARGEITEM,T,RELEASED
1939,1914,customdeploy_ste_ue_noninventory_item,NONINVENTORYITEM,T,RELEASED
1938,1914,customdeploy_ste_ue_inventory_item,INVENTORYITEM,T,RELEASED
1952,1917,customdeploy_ste_ue_nexus,NEXUS,T,RELEASED
1953,1918,customdeploy_ste_ue_oss_setup,CUSTOMRECORD_STE_OSS_SETUP,T,RELEASED
1977,1922,customdeploy_ste_sl_tax_group_list,,T,RELEASED
1978,1923,customdeploy_ste_sl_transaction_type,,T,RELEASED
1979,1924,customdeploy_ste_sl_taxgroup_detail,,T,RELEASED
1980,1925,customdeploy_ste_sl_item_tax_rules_list,,T,RELEASED
1981,1926,customdeploy_ste_sl_item_tax_rules_det,,T,RELEASED
1982,1927,customdeploy_ste_sl_rol_perm_list,,T,RELEASED
1983,1928,customdeploy_ste_sl_dataprovisioning,,F,RELEASED
1984,1929,customdeploy_ste_sl_oss_taxsched_detail,,T,RELEASED
1985,1930,customdeploy_ste_sl_subsidiary_service,,T,RELEASED
1986,1931,customdeploy_ste_sl_exempt_cert_detail,,T,RELEASED
1987,1932,customdeploy_ste_sl_rol_perm_detail,,T,RELEASED
1988,1933,customdeploy_ste_sl_exempt_cert_list,,T,RELEASED
1989,1934,customdeploy_ste_sl_reg_format_detail,,T,RELEASED
1990,1935,customdeploy_ste_sl_taxschedule_list,,T,RELEASED
1991,1936,customdeploy_ste_sl_roundinggroup_list,,T,RELEASED
1992,1937,customdeploy_ste_sl_reg_format_list,,T,RELEASED
1993,1938,customdeploy_ste_sl_tax_validation,,T,RELEASED
1994,1939,customdeploy_ste_sl_roundinggroup_detail,,T,RELEASED
1995,1940,customdeploy_ste_sl_oss_setup_list,,T,RELEASED
1996,1941,customdeploy_ste_sl_oss_taxsched_list,,T,RELEASED
1997,1942,customdeploy_ste_sl_oss_setup,,T,RELEASED
1998,1943,customdeploy_ste_sl_taxschedule_detail,,T,RELEASED
2000,1945,customdeploy_ste_sl_backend_admin,,T,RELEASED
2001,1946,customdeploy_ste_sl_backend_restricted,,T,RELEASED
2005,1950,customdeploy_ste_rl_country_manager,,T,RELEASED
2006,1951,customdeploy_ste_mr_oss_taxschd_itemsave,,T,NOTSCHEDULED
2007,1952,customdeploy_ste_mr_itr_save_from_search,,T,NOTSCHEDULED
2016,1954,customdeploy_ste_mr_item_tax_rules_sav_g,,T,NOTSCHEDULED
2010,1954,customdeploy_ste_mr_item_tax_rules_sav_a,,T,NOTSCHEDULED
2018,1954,customdeploy_ste_mr_item_tax_rules_sav_i,,T,NOTSCHEDULED
2017,1954,customdeploy_ste_mr_item_tax_rules_sav_h,,T,NOTSCHEDULED
2014,1954,customdeploy_ste_mr_item_tax_rules_sav_e,,T,NOTSCHEDULED
2013,1954,customdeploy_ste_mr_item_tax_rules_sav_d,,T,NOTSCHEDULED
